[2026-03-19 14:13:14] Step 50 | jepa: 0.2178 | variance: 0.9620 | covariance: 0.0531 | physics: 1.6832 | total: 0.5483
[2026-03-19 14:13:24] Step 100 | jepa: 0.1481 | variance: 0.9659 | covariance: 0.0457 | physics: 1.7007 | total: 0.4588
[2026-03-19 14:13:35] Step 150 | jepa: 0.1088 | variance: 0.9694 | covariance: 0.0415 | physics: 1.6910 | total: 0.4157
[2026-03-19 14:13:46] Step 200 | jepa: 0.0869 | variance: 0.9713 | covariance: 0.0479 | physics: 1.7215 | total: 0.4438
[2026-03-19 14:13:54] Step 250 | jepa: 0.0697 | variance: 0.9726 | covariance: 0.0443 | physics: 1.7050 | total: 0.4253
[2026-03-19 14:14:05] Step 300 | jepa: 0.0662 | variance: 0.9731 | covariance: 0.0458 | physics: 1.7150 | total: 0.4469
[2026-03-19 14:14:15] Step 350 | jepa: 0.0587 | variance: 0.9739 | covariance: 0.0405 | physics: 1.6914 | total: 0.4283
[2026-03-19 14:14:26] Step 400 | jepa: 0.0540 | variance: 0.9744 | covariance: 0.0427 | physics: 1.7147 | total: 0.4535
[2026-03-19 14:14:36] Step 450 | jepa: 0.0523 | variance: 0.9744 | covariance: 0.0479 | physics: 1.7268 | total: 0.4959
[2026-03-19 14:14:46] Step 500 | jepa: 0.0469 | variance: 0.9751 | covariance: 0.0400 | physics: 1.7083 | total: 0.4665
[2026-03-19 14:14:58] Step 550 | jepa: 0.0483 | variance: 0.9750 | covariance: 0.0405 | physics: 1.7386 | total: 0.4732
[2026-03-19 14:15:09] Step 600 | jepa: 0.0470 | variance: 0.9750 | covariance: 0.0426 | physics: 1.7231 | total: 0.4811
[2026-03-19 14:15:21] Step 650 | jepa: 0.0526 | variance: 0.9745 | covariance: 0.0491 | physics: 1.7555 | total: 0.5224
[2026-03-19 14:15:32] Step 700 | jepa: 0.0503 | variance: 0.9748 | covariance: 0.0468 | physics: 1.7272 | total: 0.5055
[2026-03-19 14:15:43] Step 750 | jepa: 0.0448 | variance: 0.9753 | covariance: 0.0423 | physics: 1.7430 | total: 0.4795
[2026-03-19 14:15:55] Step 800 | jepa: 0.0469 | variance: 0.9752 | covariance: 0.0439 | physics: 1.7551 | total: 0.4907
[2026-03-19 14:16:07] Step 850 | jepa: 0.0448 | variance: 0.9753 | covariance: 0.0445 | physics: 1.7445 | total: 0.4904
[2026-03-19 14:16:17] Step 900 | jepa: 0.0437 | variance: 0.9754 | covariance: 0.0440 | physics: 1.7454 | total: 0.4870
[2026-03-19 14:16:29] Step 950 | jepa: 0.0441 | variance: 0.9754 | covariance: 0.0431 | physics: 1.7654 | total: 0.4848
[2026-03-19 14:16:38] Step 1000 | jepa: 0.0451 | variance: 0.9754 | covariance: 0.0429 | physics: 1.7357 | total: 0.4822
[2026-03-19 14:16:52] Step 1050 | jepa: 0.0399 | variance: 0.9758 | covariance: 0.0447 | physics: 1.7853 | total: 0.4906
[2026-03-19 14:17:07] Step 1100 | jepa: 0.0417 | variance: 0.9757 | covariance: 0.0449 | physics: 1.7699 | total: 0.4918
