[2026-03-19 14:27:10] Step 50 | jepa: 0.1885 | variance: 0.9640 | covariance: 0.0522 | physics: 0.1858 | recon: 0.1922 | total: 0.6172
[2026-03-19 14:27:21] Step 100 | jepa: 0.1390 | variance: 0.9668 | covariance: 0.0485 | physics: 0.1612 | recon: 0.1707 | total: 0.5554
[2026-03-19 14:27:32] Step 150 | jepa: 0.1379 | variance: 0.9672 | covariance: 0.0493 | physics: 0.1294 | recon: 0.1576 | total: 0.5602
[2026-03-19 14:27:42] Step 200 | jepa: 0.1523 | variance: 0.9661 | covariance: 0.0609 | physics: 0.1112 | recon: 0.1580 | total: 0.6396
[2026-03-19 14:27:51] Step 250 | jepa: 0.1438 | variance: 0.9659 | covariance: 0.0587 | physics: 0.0959 | recon: 0.1558 | total: 0.6116
[2026-03-19 14:28:02] Step 300 | jepa: 0.1670 | variance: 0.9641 | covariance: 0.0609 | physics: 0.0958 | recon: 0.1409 | total: 0.6382
[2026-03-19 14:28:14] Step 350 | jepa: 0.1716 | variance: 0.9642 | covariance: 0.0532 | physics: 0.0854 | recon: 0.1394 | total: 0.5982
[2026-03-19 14:28:26] Step 400 | jepa: 0.1711 | variance: 0.9639 | covariance: 0.0607 | physics: 0.0844 | recon: 0.1349 | total: 0.6323
[2026-03-19 14:28:38] Step 450 | jepa: 0.1661 | variance: 0.9635 | covariance: 0.0704 | physics: 0.0865 | recon: 0.1624 | total: 0.6909
[2026-03-19 14:28:51] Step 500 | jepa: 0.1655 | variance: 0.9640 | covariance: 0.0569 | physics: 0.0733 | recon: 0.1357 | total: 0.6029
[2026-03-19 14:29:04] Step 550 | jepa: 0.1809 | variance: 0.9631 | covariance: 0.0537 | physics: 0.0692 | recon: 0.1269 | total: 0.5955
[2026-03-19 14:29:16] Step 600 | jepa: 0.1740 | variance: 0.9634 | covariance: 0.0597 | physics: 0.0725 | recon: 0.1406 | total: 0.6270
[2026-03-19 14:29:29] Step 650 | jepa: 0.1888 | variance: 0.9613 | covariance: 0.0665 | physics: 0.0776 | recon: 0.1380 | total: 0.6774
[2026-03-19 14:29:43] Step 700 | jepa: 0.1916 | variance: 0.9621 | covariance: 0.0642 | physics: 0.0715 | recon: 0.1297 | total: 0.6613
[2026-03-19 14:29:52] Step 750 | jepa: 0.1650 | variance: 0.9637 | covariance: 0.0571 | physics: 0.0688 | recon: 0.1317 | total: 0.5990
