[2026-03-19 14:17:25] Step 50 | jepa: 0.1728 | variance: 0.9651 | covariance: 0.0515 | physics: 1.6536 | recon: 0.2110 | total: 0.7909
[2026-03-19 14:17:36] Step 100 | jepa: 0.0947 | variance: 0.9709 | covariance: 0.0420 | physics: 1.6826 | recon: 0.2424 | total: 0.8953
[2026-03-19 14:17:48] Step 150 | jepa: 0.0692 | variance: 0.9731 | covariance: 0.0424 | physics: 1.6896 | recon: 0.2341 | total: 1.0804
[2026-03-19 14:17:59] Step 200 | jepa: 0.0657 | variance: 0.9736 | covariance: 0.0520 | physics: 1.7122 | recon: 0.2368 | total: 1.3487
[2026-03-19 14:18:07] Step 250 | jepa: 0.0603 | variance: 0.9738 | covariance: 0.0459 | physics: 1.6905 | recon: 0.2349 | total: 1.3012
[2026-03-19 14:18:18] Step 300 | jepa: 0.0584 | variance: 0.9741 | covariance: 0.0462 | physics: 1.7003 | recon: 0.2180 | total: 1.2971
[2026-03-19 14:18:29] Step 350 | jepa: 0.0548 | variance: 0.9745 | covariance: 0.0421 | physics: 1.6985 | recon: 0.2111 | total: 1.2686
[2026-03-19 14:18:41] Step 400 | jepa: 0.0561 | variance: 0.9745 | covariance: 0.0453 | physics: 1.7159 | recon: 0.2039 | total: 1.2912
[2026-03-19 14:18:52] Step 450 | jepa: 0.0540 | variance: 0.9744 | covariance: 0.0488 | physics: 1.7526 | recon: 0.2500 | total: 1.3480
[2026-03-19 14:19:01] Step 500 | jepa: 0.0501 | variance: 0.9749 | covariance: 0.0422 | physics: 1.7468 | recon: 0.2082 | total: 1.2872
