[2026-03-19 13:58:17] Step 50 | jepa: 0.1087 | variance: 0.9883 | covariance: 0.0000 | physics: 4.3400 | total: 0.5921
[2026-03-19 13:58:28] Step 100 | jepa: 0.0451 | variance: 0.9888 | covariance: 0.0000 | physics: 4.5300 | total: 0.5476
[2026-03-19 13:58:38] Step 150 | jepa: 0.0299 | variance: 0.9889 | covariance: 0.0000 | physics: 4.2465 | total: 0.5040
[2026-03-19 13:58:49] Step 200 | jepa: 0.0258 | variance: 0.9891 | covariance: 0.0000 | physics: 4.3065 | total: 0.5059
[2026-03-19 13:58:58] Step 250 | jepa: 0.0225 | variance: 0.9891 | covariance: 0.0000 | physics: 4.1895 | total: 0.4909
[2026-03-19 13:59:09] Step 300 | jepa: 0.0218 | variance: 0.9892 | covariance: 0.0000 | physics: 4.2858 | total: 0.4998
[2026-03-19 13:59:20] Step 350 | jepa: 0.0220 | variance: 0.9892 | covariance: 0.0000 | physics: 4.1529 | total: 0.4867
[2026-03-19 13:59:31] Step 400 | jepa: 0.0213 | variance: 0.9892 | covariance: 0.0000 | physics: 4.2806 | total: 0.4988
[2026-03-19 13:59:43] Step 450 | jepa: 0.0209 | variance: 0.9892 | covariance: 0.0000 | physics: 4.4168 | total: 0.5120
[2026-03-19 13:59:53] Step 500 | jepa: 0.0195 | variance: 0.9893 | covariance: 0.0000 | physics: 4.4897 | total: 0.5180
[2026-03-19 14:00:03] Step 550 | jepa: 0.0211 | variance: 0.9893 | covariance: 0.0000 | physics: 4.6206 | total: 0.5327
[2026-03-19 14:00:14] Step 600 | jepa: 0.0203 | variance: 0.9893 | covariance: 0.0000 | physics: 4.4786 | total: 0.5176
[2026-03-19 14:00:26] Step 650 | jepa: 0.0213 | variance: 0.9893 | covariance: 0.0000 | physics: 4.5796 | total: 0.5287
[2026-03-19 14:00:39] Step 700 | jepa: 0.0215 | variance: 0.9893 | covariance: 0.0000 | physics: 4.4845 | total: 0.5194
[2026-03-19 14:00:47] Step 750 | jepa: 0.0179 | variance: 0.9893 | covariance: 0.0000 | physics: 4.6216 | total: 0.5295
[2026-03-19 14:00:59] Step 800 | jepa: 0.0193 | variance: 0.9892 | covariance: 0.0000 | physics: 4.6677 | total: 0.5355
[2026-03-19 14:01:10] Step 850 | jepa: 0.0172 | variance: 0.9894 | covariance: 0.0000 | physics: 4.5944 | total: 0.5261
[2026-03-19 14:01:21] Step 900 | jepa: 0.0185 | variance: 0.9893 | covariance: 0.0000 | physics: 4.5748 | total: 0.5254
[2026-03-19 14:01:33] Step 950 | jepa: 0.0185 | variance: 0.9891 | covariance: 0.0000 | physics: 4.7369 | total: 0.5416
[2026-03-19 14:01:42] Step 1000 | jepa: 0.0192 | variance: 0.9892 | covariance: 0.0000 | physics: 4.5314 | total: 0.5218
[2026-03-19 14:01:53] Step 1050 | jepa: 0.0218 | variance: 0.9892 | covariance: 0.0000 | physics: 4.7930 | total: 0.5506
