[2026-03-19 14:02:27] Step 50 | jepa: 0.1383 | variance: 0.9676 | covariance: 0.0465 | physics: 4.3433 | total: 0.8537
[2026-03-19 14:02:38] Step 100 | jepa: 0.0692 | variance: 0.9731 | covariance: 0.0365 | physics: 4.4291 | total: 0.7433
[2026-03-19 14:02:49] Step 150 | jepa: 0.0420 | variance: 0.9756 | covariance: 0.0345 | physics: 4.2068 | total: 0.6837
[2026-03-19 14:02:59] Step 200 | jepa: 0.0342 | variance: 0.9765 | covariance: 0.0362 | physics: 4.2555 | total: 0.6893
[2026-03-19 14:03:08] Step 250 | jepa: 0.0279 | variance: 0.9769 | covariance: 0.0355 | physics: 4.1678 | total: 0.6709
[2026-03-19 14:03:18] Step 300 | jepa: 0.0259 | variance: 0.9773 | covariance: 0.0349 | physics: 4.2329 | total: 0.6724
[2026-03-19 14:03:30] Step 350 | jepa: 0.0239 | variance: 0.9775 | covariance: 0.0348 | physics: 4.1224 | total: 0.6589
[2026-03-19 14:03:40] Step 400 | jepa: 0.0240 | variance: 0.9776 | covariance: 0.0367 | physics: 4.2210 | total: 0.6784
[2026-03-19 14:03:51] Step 450 | jepa: 0.0237 | variance: 0.9775 | covariance: 0.0386 | physics: 4.3734 | total: 0.7030
[2026-03-19 14:03:59] Step 500 | jepa: 0.0229 | variance: 0.9776 | covariance: 0.0366 | physics: 4.4137 | total: 0.6961
[2026-03-19 14:04:09] Step 550 | jepa: 0.0254 | variance: 0.9774 | covariance: 0.0367 | physics: 4.5463 | total: 0.7122
[2026-03-19 14:04:19] Step 600 | jepa: 0.0285 | variance: 0.9772 | covariance: 0.0408 | physics: 4.4303 | total: 0.7245
[2026-03-19 14:04:30] Step 650 | jepa: 0.0302 | variance: 0.9769 | covariance: 0.0447 | physics: 4.5282 | total: 0.7552
[2026-03-19 14:04:40] Step 700 | jepa: 0.0313 | variance: 0.9769 | covariance: 0.0441 | physics: 4.4198 | total: 0.7424
[2026-03-19 14:04:48] Step 750 | jepa: 0.0285 | variance: 0.9771 | covariance: 0.0380 | physics: 4.5616 | total: 0.7236
[2026-03-19 14:04:59] Step 800 | jepa: 0.0308 | variance: 0.9769 | covariance: 0.0404 | physics: 4.5971 | total: 0.7413
[2026-03-19 14:05:09] Step 850 | jepa: 0.0295 | variance: 0.9769 | covariance: 0.0425 | physics: 4.5357 | total: 0.7444
[2026-03-19 14:05:19] Step 900 | jepa: 0.0304 | variance: 0.9770 | covariance: 0.0400 | physics: 4.6113 | total: 0.7405
[2026-03-19 14:05:30] Step 950 | jepa: 0.0319 | variance: 0.9768 | covariance: 0.0433 | physics: 4.7051 | total: 0.7679
[2026-03-19 14:05:38] Step 1000 | jepa: 0.0306 | variance: 0.9768 | covariance: 0.0419 | physics: 4.5115 | total: 0.7400
[2026-03-19 14:05:49] Step 1050 | jepa: 0.0339 | variance: 0.9768 | covariance: 0.0417 | physics: 4.7321 | total: 0.7646
[2026-03-19 14:05:59] Step 1100 | jepa: 0.0336 | variance: 0.9768 | covariance: 0.0435 | physics: 4.7895 | total: 0.7787
[2026-03-19 14:06:10] Step 1150 | jepa: 0.0294 | variance: 0.9770 | covariance: 0.0420 | physics: 4.7084 | total: 0.7591
[2026-03-19 14:06:20] Step 1200 | jepa: 0.0291 | variance: 0.9771 | covariance: 0.0421 | physics: 4.6472 | total: 0.7530
[2026-03-19 14:06:30] Step 1250 | jepa: 0.0274 | variance: 0.9771 | covariance: 0.0422 | physics: 4.9219 | total: 0.7792
[2026-03-19 14:06:43] Step 1300 | jepa: 0.0284 | variance: 0.9771 | covariance: 0.0437 | physics: 4.8217 | total: 0.7778
[2026-03-19 14:06:55] Step 1350 | jepa: 0.0284 | variance: 0.9772 | covariance: 0.0412 | physics: 4.6051 | total: 0.7435
[2026-03-19 14:07:07] Step 1400 | jepa: 0.0282 | variance: 0.9771 | covariance: 0.0443 | physics: 4.9986 | total: 0.7983
[2026-03-19 14:07:18] Step 1450 | jepa: 0.0270 | variance: 0.9773 | covariance: 0.0440 | physics: 4.7051 | total: 0.7664
[2026-03-19 14:07:26] Step 1500 | jepa: 0.0257 | variance: 0.9775 | covariance: 0.0406 | physics: 4.6513 | total: 0.7425
[2026-03-19 14:07:37] Step 1550 | jepa: 0.0276 | variance: 0.9772 | covariance: 0.0456 | physics: 4.6763 | total: 0.7720
[2026-03-19 14:07:48] Step 1600 | jepa: 0.0255 | variance: 0.9775 | covariance: 0.0419 | physics: 4.7160 | total: 0.7555
[2026-03-19 14:08:00] Step 1650 | jepa: 0.0239 | variance: 0.9776 | covariance: 0.0402 | physics: 4.8513 | total: 0.7591
[2026-03-19 14:08:09] Step 1700 | jepa: 0.0254 | variance: 0.9775 | covariance: 0.0424 | physics: 4.5820 | total: 0.7443
[2026-03-19 14:08:20] Step 1750 | jepa: 0.0246 | variance: 0.9775 | covariance: 0.0425 | physics: 4.6226 | total: 0.7481
[2026-03-19 14:08:31] Step 1800 | jepa: 0.0222 | variance: 0.9777 | covariance: 0.0419 | physics: 4.4787 | total: 0.7283
[2026-03-19 14:08:43] Step 1850 | jepa: 0.0236 | variance: 0.9777 | covariance: 0.0419 | physics: 4.7066 | total: 0.7525
[2026-03-19 14:08:55] Step 1900 | jepa: 0.0228 | variance: 0.9777 | covariance: 0.0419 | physics: 4.7587 | total: 0.7571
[2026-03-19 14:09:04] Step 1950 | jepa: 0.0234 | variance: 0.9776 | covariance: 0.0429 | physics: 4.8725 | total: 0.7740
[2026-03-19 14:09:15] Step 2000 | jepa: 0.0231 | variance: 0.9778 | covariance: 0.0415 | physics: 4.8539 | total: 0.7647
[2026-03-19 14:09:26] Step 2050 | jepa: 0.0205 | variance: 0.9779 | covariance: 0.0410 | physics: 4.6840 | total: 0.7430
[2026-03-19 14:09:36] Step 2100 | jepa: 0.0223 | variance: 0.9778 | covariance: 0.0418 | physics: 4.8727 | total: 0.7675
[2026-03-19 14:09:47] Step 2150 | jepa: 0.0190 | variance: 0.9780 | covariance: 0.0417 | physics: 4.5241 | total: 0.7289
[2026-03-19 14:09:55] Step 2200 | jepa: 0.0203 | variance: 0.9780 | covariance: 0.0424 | physics: 4.8310 | total: 0.7645
